model,acc_mean,acc_std,macro_f1_mean,macro_f1_std,noise,level,denoise
LDA,0.30319350503602677,0.008220472732538932,0.29971066735652563,0.008823775596322383,drift,0.6,wavelet
SVM_RBF,0.5774853024087853,0.007376344960965809,0.5777713917030336,0.006854947163900944,drift,0.6,wavelet
RF,0.7338488796863211,0.007376449371429809,0.7345390098560636,0.007245005497788933,drift,0.6,wavelet
LDA,0.328980798241755,0.003527950408082596,0.3276035248076663,0.0036953727180114707,drift,0.6,kalman
SVM_RBF,0.7220751661963629,0.0033074654295976603,0.7226733973099174,0.0030981590759696464,drift,0.6,kalman
RF,0.7865983107867229,0.0050767651270443425,0.7868574250536703,0.004952012432220009,drift,0.6,kalman
LDA,0.3050510105875339,0.005647598243640896,0.30138149393903013,0.00533033792239298,drift,0.6,pca
SVM_RBF,0.652880953979081,0.007944104598118094,0.6545702795406844,0.00765677772586358,drift,0.6,pca
RF,0.8356599449873128,0.0040619389657598455,0.835823046266402,0.00407252871887229,drift,0.6,pca
LDA,0.34171035931740035,0.006092022983541912,0.33995334156807216,0.0059979960978781425,drift,1.0,none
SVM_RBF,0.7246156870591987,0.0041342316767324075,0.7253916526940299,0.003969654460930111,drift,1.0,none
RF,0.8644249175095116,0.005516483626716424,0.8644231445811889,0.005526334599255722,drift,1.0,none
LDA,0.34034448539840845,0.004539648028876808,0.33861594751030644,0.004906807611505359,drift,1.0,notch
SVM_RBF,0.7234684184843017,0.0042209715241943975,0.7243130398056287,0.004136909479736526,drift,1.0,notch
RF,0.8637148185813684,0.0059003118776517925,0.8638232441060005,0.005732375739829353,drift,1.0,notch
LDA,0.3068811265769752,0.004331088015109083,0.30337454842139766,0.004350334141235524,drift,1.0,wavelet
SVM_RBF,0.6025076578656042,0.006274735243076131,0.6030221791204166,0.006084887458988027,drift,1.0,wavelet
RF,0.7692244373694812,0.0035285376594572596,0.7697343626890049,0.0035414765211474073,drift,1.0,wavelet
LDA,0.3253201745037092,0.005278836439393833,0.3234360786128243,0.00540720596178443,drift,1.0,kalman
SVM_RBF,0.7177590622196006,0.003336943237569105,0.7183823534154203,0.003158834824797829,drift,1.0,kalman
RF,0.8059117353173608,0.0068915818593132646,0.8061152035366475,0.0067650906777751915,drift,1.0,kalman
LDA,0.3003251899537579,0.008563685656774242,0.29648634153597275,0.00812869233723771,drift,1.0,pca
SVM_RBF,0.6448223784474852,0.007545747118975776,0.6463402316875551,0.007227972717304708,drift,1.0,pca
RF,0.8006939211402238,0.00575101614560826,0.801104178013292,0.0056134794355314765,drift,1.0,pca
LDA,0.36807133344857274,0.006768434513950282,0.3666448028489577,0.006479297051455702,motion,0.1,none
SVM_RBF,0.7242059517469865,0.003717213950576611,0.7250747476582416,0.003582004637886054,motion,0.1,none
RF,0.9103998514150771,0.004460524927091202,0.9103579287986022,0.004430189912077112,motion,0.1,none
LDA,0.3644382485141788,0.006102318228567383,0.36326397859075205,0.005801671138552341,motion,0.1,notch
SVM_RBF,0.7229220823484476,0.004337296642720978,0.7236983158291194,0.004242378685090232,motion,0.1,notch
RF,0.9062749632203438,0.004531096054379946,0.9061193912673534,0.004497841131354462,motion,0.1,notch
LDA,0.2860927959556724,0.006373167975938919,0.2834818842007732,0.006509219568097379,motion,0.1,wavelet
SVM_RBF,0.5359904106311347,0.007318637136433765,0.5360198284865945,0.006773121511607909,motion,0.1,wavelet
RF,0.6489743838383898,0.004189015521598103,0.6489858645062642,0.00402384569887346,motion,0.1,wavelet
LDA,0.3420109579888294,0.005180212605374131,0.34088300202879784,0.004989187369867372,motion,0.1,kalman
SVM_RBF,0.726691689754651,0.0022617876537646864,0.7274182104528218,0.0020846130342617045,motion,0.1,kalman
RF,0.7995739824307583,0.0046805682186835,0.79984643397319,0.004582999553657006,motion,0.1,kalman
LDA,0.31526757094879704,0.007286499181013397,0.3122206666182059,0.0074887068324916185,motion,0.1,pca
SVM_RBF,0.6526351605490612,0.007768922176127112,0.6543753809587267,0.007560681274985893,motion,0.1,pca
RF,0.8572678656263086,0.00338768738089041,0.8573922741435089,0.003312617982302499,motion,0.1,pca
LDA,0.3479935681353693,0.004407218271734619,0.3465254887728867,0.004369410321229269,motion,0.3,none
SVM_RBF,0.7132244387126556,0.0037052902814998807,0.7139897261087376,0.003599091005232022,motion,0.3,none
RF,0.8688231640551939,0.006422524330593125,0.8688300797851362,0.006363401819976074,motion,0.3,none
LDA,0.3483211422234631,0.006144471847324215,0.3466343704080552,0.0059171847527167785,motion,0.3,notch
SVM_RBF,0.7102194705721896,0.004150804934476184,0.7109446491363579,0.004048127257003603,motion,0.3,notch
RF,0.8658729228043047,0.005960026364219738,0.8658328210878226,0.005957723410117776,motion,0.3,notch
LDA,0.27609486705578173,0.005687304781667101,0.27259056821483474,0.0053160920667345134,motion,0.3,wavelet
SVM_RBF,0.5232334040278289,0.005129887980341982,0.5228752182193841,0.005026998518101923,motion,0.3,wavelet
RF,0.6293062419062091,0.006092325112818139,0.6292579114572525,0.00634579780970204,motion,0.3,wavelet
