experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
ml_noise_pink_lvl10p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,wavelet,0.669244,0.669445,0.008330,0.008242,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,kalman,0.324801,0.323090,0.006998,0.006714,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,kalman,0.714235,0.714857,0.003558,0.003159,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,kalman,0.781354,0.781549,0.005560,0.005394,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,pca,0.303057,0.298776,0.007332,0.007013,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,pca,0.652908,0.654434,0.007209,0.006900,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl10p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,10.0,pca,0.828803,0.828982,0.003692,0.003673,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl0p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,0.0,none,0.317043,0.314540,0.005495,0.005209,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl0p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,0.0,none,0.700576,0.701287,0.004965,0.004826,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl0p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,0.0,none,0.836999,0.836919,0.005012,0.004949,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl0p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,0.0,notch,0.315322,0.312718,0.006276,0.006113,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl0p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,0.0,notch,0.701505,0.702306,0.003610,0.003431,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
